('opět'# 2),jídlo,('čkali'# 1)
('solidní'# 2),jídlo,('nevrátila'# 1)
('rychlá#'# 2),jídlo,('neslané#'# 1)
('jsou'# 2),jídlo,('pokaždé'# 1)
('předražené'# 2),jídlo,('počkáme'# 1)
('placení.'# 2),jídlo,('neurazí'# 1)
('navíc'# 2),jídlo,('řekla'# 1)
('spokojenost#'# 2),jídlo,('udělat'# 1)
('kdovíjak'# 1),jídlo,('perfektní'# 1)
('maximum'# 1),jídlo,('opice'# 1)
('vychutnal'# 1),jídlo,('naservírováno'# 1)
('radost'# 1),jídlo,('dlouho.líbí'# 1)
('kuřecím'# 1),jídlo,('vafle'# 1)
('butter'# 1),jídlo,('připravit'# 1)
('bramborem.'# 1),jídlo,('nestěžoval'# 1)
('pozitivní#'# 1),jídlo,('sestávající'# 1)
('výraznější'# 1),jídlo,('platíme'# 1)
('čerstvých'# 1),jídlo,('někdy'# 1)
('povyšují'# 1),jídlo,('steak#'# 1)
('nedělala.'# 1),jídlo,('přišlo'# 1)
('ubral'# 1),jídlo,('hodnotil'# 1)
('neskrývá'# 1),jídlo,('hodně'# 1)
('hodil)#'# 1),jídlo,('nechali'# 1)
('prosté'# 1),jídlo,('účtováno'# 1)
('nebude'# 1),jídlo,('samozřejmě'# 1)
('baví'# 1),jídlo,('přinesli#'# 1)
('zahraniční'# 1),jídlo,('(které'# 1)
('své'# 1),jídlo,('doporučuji'# 1)
('stolu'# 1),jídlo,('vymyslel.vynikajici'# 1)
('průměrně#'# 1),jídlo,('nedobré'# 1)
('nějakej'# 1),jídlo,('žádná'# 1)
('jazyk.'# 1),jídlo,('úplně'# 1)
('super.'# 1),jídlo,('hodnotím'# 1)
('krkolomně'# 1),jídlo,('nemám#'# 1)
('čekám'# 1),jídlo,('nepřivezou'# 1)
('pocit:'# 1),jídlo,('nevypadalo'# 1)
('nechutná.hlavní'# 1),jídlo,('začal'# 1)
('tomu#'# 1),jídlo,('odnést'# 1)
('měli'# 1),jídlo,('vynikající.vážení'# 1)
('nabídce'# 1),jídlo,('ucházející#'# 1)
('vmžiku'# 1),jídlo,('odnesl'# 1)
('mírné#'# 1),jídlo,('přinesl'# 1)
('kontakt#'# 1),jídlo,('nedá'# 1)
('okořeněné#'# 1),jídlo,('dali'# 1)
('nekřupala#'# 1),jídlo,('proplácelo#'# 1)
('vzhledově'# 1),jídlo,('spolustolovníka'# 1)
('táta.'# 1),jídlo,('cena'# 1)
('znechucený'# 1),jídlo,('připálené'# 1)
('sumárum'# 1),jídlo,('měla'# 1)
('neodpovídá.'# 1),jídlo,('vařené'# 1)
('minutách.'# 1),jídlo,('(degustační'# 1)
('představí'# 1),jídlo,('čekat'# 1)
('servírované'# 1),jídlo,('minimálně'# 1)
('tady'# 1),jídlo,('zapomněli'# 1)
('promění'# 1),jídlo,('výborne#'# 1)
('mnohdy'# 1),jídlo,('dělá#'# 1)
('objednáno'# 1),jídlo,('(fal'# 1)
('kupka'# 1),jídlo,('musel'# 1)
('neuvěřitelně'# 1),jídlo,('začali'# 1)
('zakouřeno#'# 1),jídlo,('označit'# 1)
('účet'# 1),jídlo,('(již'# 1)
('moderní.'# 1),jídlo,('(popřípadě'# 1)
('nečekali'# 1),jídlo,('těstovinové'# 1)
('pochutnali.'# 1),jídlo,('dokonalé'# 1)
('víno#'# 1),jídlo,('všichni'# 1)
('odběhla'# 1),jídlo,('tvoří'# 1)
('zklamán'# 1),jídlo,('značně'# 1)
('chutná.'# 1),jídlo,('(hermelín#'# 1)
('rozhovoru'# 1),jídlo,('doplněné'# 1)
('harmonogramu#'# 1),jídlo,('jsou'# 1)
('děkujemevynikající'# 1),jídlo,('spíš'# 1)
('hospoda#'# 1),jídlo,('(steaky)'# 1)
('cibulkou.'# 1),jídlo,('hodné'# 1)
('poprvé'# 1),jídlo,('protáhlo'# 1)
('nestíhají#'# 1),jídlo,('všechny'# 1)
('kapusta...'# 1),jídlo,('podruhé'# 1)
('5)'# 1),jídlo,('pochvaloval#'# 1)
('byli'# 1),jídlo,('hovězí'# 1)
('slevu'# 1),jídlo,('pravé'# 1)
('vrátíme#'# 1),jídlo,('přimhouří'# 1)
('jelikož'# 1),jídlo,('zaplatil'# 1)
('nepříjemná#'# 1),jídlo,('(pizza'# 1)
('hrozné.'# 1),jídlo,('pustili'# 1)
('nedala..'# 1),jídlo,('uvařeno'# 1)
('hodinu'# 1),jídlo,('grilovaná'# 1)
('poprosili'# 1),jídlo,('nedodělané-sirové!návštěva'# 1)
('obdrželi'# 1),jídlo,('upraveno'# 1)
('slaninou.'# 1),jídlo,('vracet#'# 1)
('pamatuju.'# 1),jídlo,('byly'# 1)
('nejsem'# 1),jídlo,('osolit#'# 1)
('neudělal....'# 1),jídlo,('hrozné'# 1)
('hodnotil'# 1),jídlo,('akorát'# 1)
('zážitek.'# 1),jídlo,('doplňují'# 1)
('klasické'# 1),jídlo,('uběhlo'# 1)
('prostonárodní'# 1),jídlo,('mile'# 1)
('mohl#'# 1),jídlo,('vrátíl'# 1)
('řekla'# 1),jídlo,('steaky'# 1)
('zdrclá#'# 1),jídlo,('(kotleta'# 1)
('mikrovlnku'# 1),jídlo,('pečeného'# 1)
('raději'# 1),jídlo,('otřesné#'# 1)
('někdy'# 1),jídlo,('těstoviny'# 1)
('klidně'# 1),jídlo,('standardní#'# 1)
('neschopnost'# 1),jídlo,('nepřeplácané'# 1)
('uvedu#'# 1),jídlo,('zhotoveno'# 1)
('vývarem#'# 1),jídlo,('(přímo'# 1)
('výborná'# 1),jídlo,('žebra#'# 1)
('malinami.'# 1),jídlo,('ryba'# 1)
('restauraci.'# 1),jídlo,('malej'# 1)
('pěknou'# 1),jídlo,('večera)'# 1)
('navštívili'# 1),jídlo,('adekvátní'# 1)
('kvalitně'# 1),jídlo,('(polévku'# 1)
('neochucené'# 1),jídlo,('krůtí'# 1)
('salsa'# 1),jídlo,('jedna'# 1)
('netaktním'# 1),jídlo,('respektující'# 1)
('mladší'# 1),jídlo,('pokud'# 1)
('číšník'# 1),jídlo,('vynikajicí'# 1)
('úsměvem.'# 1),jídlo,('neskutečně'# 1)
('dostal'# 1),jídlo,('dohromady-'# 1)
('dvojitá)#'# 1),jídlo,('téže.dali'# 1)
('hodnocením'# 1),jídlo,('carpacio#plněné'# 1)
('ohradil#'# 1),jídlo,('tataráček'# 1)
('bílé.'# 1),jídlo,('muset'# 1)
('sobotní'# 1),jídlo,('spaghetti'# 1)
('nadále'# 1),jídlo,('nebyla'# 1)
('hodně'# 1),jídlo,('příjemně'# 1)
('přiměřenou'# 1),jídlo,('nádherně'# 1)
('obyčejné.'# 1),jídlo,('rádi'# 1)
('oknu.'# 1),jídlo,('(těstoviny#'# 1)
('oříškem#'# 1),jídlo,('ochutnala'# 1)
('prohlíželo.'# 1),jídlo,('průměr:'# 1)
('ruce.'# 1),jídlo,('těšit.na'# 1)
('vysoká'# 1),jídlo,('žádné'# 1)
('ampiamente'# 1),jídlo,('nepřinášeli'# 1)
('skvělá'# 1),jídlo,('odmítli'# 1)
('minut)#'# 1),jídlo,('dáli'# 1)
('pochopit#'# 1),jídlo,('servírované'# 1)
('pořád'# 1),jídlo,('(smažené'# 1)
