Pub Loď Veveří,"(49.2296895, 16.5175991)"
PUXpub,"(49.1985219, 16.6007629)"
Quán Viet,"(49.1936675, 16.6084858)"
QUANVIET,"(49.1936675, 16.6084858)"
Ratejna Music Restaurant,"(49.196657, 16.6131881)"
Rebio,"(49.1940996, 16.6126594)"
Reduta Café Restaurant,"(49.1923102, 16.6089499132576)"
Redwall Café,"(49.2014029, 16.6432568)"
Remix,"(49.1982976, 16.6057292)"
Rendez - vous,"(49.1973204, 16.607744)"
Restaurace  Dukát,"(49.2320654, 16.6178263)"
Restaurace a hotel U kašny,"(49.0118535, 16.6544551)"
Restaurace a penzion Gallus,"(49.309008, 16.6201115)"
Restaurace a penzion U kocoura,"(49.2195226, 16.6435773)"
Restaurace a pivnice U Zlaté Konve,"(49.1985198, 16.5942454)"
Restaurace Atrium OREA Hotelu Voroněž,"(49.18561755, 16.5852891902374)"
Restaurace Belcredi,"(49.2053723, 16.6971989)"
Restaurace Betlém,"(49.2167364, 16.6243522)"
Restaurace Borgeska,Neznámé
Restaurace Brno- chrlice,"(49.1333782, 16.6514435)"
Restaurace Corner,"(49.2040467, 16.6240846)"
Restaurace Dělnický Dům,"(49.1959152, 16.6503578)"
Restaurace Divá Bára,"(49.2099281, 16.6027362)"
Restaurace DTJ Garda,"(49.1649183, 16.5612945)"
Restaurace Farma - Obřany,"(49.2249642, 16.6636694)"
Restaurace Flora,"(49.1969424, 16.6064081)"
Restaurace Formanka,Neznámé
Restaurace Formanka,"(49.2005258, 16.6062954)"
Restaurace HNÍZDO,"(49.1798148, 16.6720513)"
Restaurace Hvězda,"(49.2275355, 16.5339923)"
Restaurace Jasmín,"(49.210478, 16.6800293)"
Restaurace Kaverna,"(49.1992949, 16.6023369)"
Restaurace Kavkaz,"(49.1686632, 16.5721961)"
Restaurace LEGUANA,"(49.1701048, 16.577212)"
Restaurace Líšeňský pivovar,"(49.2108432, 16.6806274)"
Restaurace Lloyd´s,"(49.2160686, 16.5997496)"
Restaurace Mikulášek,"(49.2124374, 16.6322232)"
Restaurace Na Devadesátce,"(49.2220345, 16.5864236)"
Restaurace Na Dolnici,"(49.253293, 16.5891258)"
Restaurace Na Statku,Neznámé
Restaurace Na Vyhlídce aneb u Černé báby,"(49.2229003, 16.6332617)"
Restaurace Nautilus,"(49.19032195, 16.6758068161714)"
Restaurace Okruh,"(49.1803455, 16.5624201)"
Restaurace Palazzo,"(49.19248655, 16.6055692175395)"
Restaurace Pastouška,"(49.19589105, 16.6339440082948)"
Restaurace PEKANDA,"(49.1916986, 16.5961127)"
Restaurace Plameňák,"(49.2188534, 16.5053057)"
Restaurace Plzeňka,"(49.1949464, 16.6057418)"
Restaurace Plzeňský dvůr,"(49.2109905, 16.5948208)"
Restaurace Pohoda,"(49.29971, 16.5353925)"
Restaurace Portum,"(49.2434018, 16.5155559279326)"
Restaurace Přístav U Vodů,"(49.2271806, 16.524969)"
Restaurace Racek,"(49.1645211, 16.7212295)"
Restaurace Rozsocháč,"(49.1851813, 16.3834373)"
Restaurace Rustical,"(49.1818493, 16.5885867)"
Restaurace Sklípek,"(49.2089837, 16.6003345)"
Restaurace Stará Pošta,"(49.1851855, 16.8261934)"
Restaurace Špalíček,"(49.1923102, 16.6089499132576)"
Restaurace Tanganika,"(49.2135257, 16.5747848)"
Restaurace Tatra,"(49.1064122, 16.764317)"
Restaurace Terasa,"(49.1728548, 16.6237589)"
